tax_id,scientific_name,accession,seq_name,seq_len
1305941,Leopoldamys revertens,JX173163.1,"Leopoldamys sabanus revertens isolate BaD-14 cytochrome b (Cytb) gene, partial cds; mitochondrial",1143
1162392,Lophuromys aquilus,MN808296.1,"Lophuromys aquilus voucher FMNH:174239 cytochrome b (cytb) gene, partial cds; mitochondrial",1080
2661599,Lophuromys dudui,PX550935.1,"Lophuromys dudui voucher BDA322 cytochrome b (cytb) gene, partial cds",1091
2082262,Lophuromys kilonzoi,MZ420661.1,"Lophuromys kilonzoi isolate TZJA057 cytochrome b (cytb) gene, partial cds; mitochondrial",931
2082264,Lophuromys machangui,MN617013.1,"Lophuromys machangui isolate TA532 cytochrome b (cytb) gene, partial cds; mitochondrial",1131
2082265,Lophuromys makundii,MN066295.1,"Lophuromys makundii isolate TZ27583 cytochrome b (cytB) gene, partial cds; mitochondrial",821
2082266,Lophuromys sabuni,KY595884.1,"Lophuromys sabuni isolate TA464 cytochrome b (cytb) gene, partial cds; mitochondrial",1132
2082267,Lophuromys stanleyi,OR672202.1,"Lophuromys stanleyi isolate UGSJ075 cytochrome b (CytB) gene, partial cds; mitochondrial",903
1392554,Lophuromys zena,OL408933.1,"Lophuromys zena voucher KIZ:NMK KE20150095 cytochrome b (cytb) gene, partial cds; mitochondrial",1136
1001554,Malacomys cansdalei,KY754019.1,"Malacomys cansdalei cytochrome b (cytb) gene, partial cds; mitochondrial",1114
1003209,Maxomys moi,PQ861139.1,"Maxomys moi isolate ROM111367 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
907926,Maxomys musschenbroekii,PQ861146.1,"Maxomys musschenbroekii isolate MSB93195 cytochrome b (CYTB) gene, partial cds; mitochondrial",1143
907927,Maxomys ochraceiventer,PQ861149.1,"Maxomys ochraceiventer isolate ROM102250 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
907929,Maxomys pagensis,PQ861150.1,"Maxomys pagensis isolate MZB28335 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
907928,Maxomys rajah,PQ861153.1,"Maxomys rajah isolate ROM113124 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
907925,Maxomys wattsi,PQ861172.1,"Maxomys wattsi isolate LSUMZ39639 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
504098,Meriones chengi,AB381900.1,"Meriones chengi mitochondrial cytb gene for cytochrome b, partial cds, specimen_vouher: #142-2001",1076
504099,Meriones tamariscinus,PQ450156.1,"Meriones tamariscinus cytochrome b (cytb) gene, partial cds; mitochondrial",1135
1603850,Micromys erythrotis,PV804254.1,"Micromys erythrotis isolate CSD2959 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2497119,Microryzomys altissimus,EU579502.1,"Neacomys minutus voucher QCAZ8353 cytochrome b (Cytb) gene, partial cds; mitochondrial",1143
1665529,Microtus ilaeus,AY513810.1,"Microtus kirgisorum haplotype 2 cytochrome b (cytb) gene, complete cds; mitochondrial",1143
1003857,Mindomys hammondi,MZ437999.1,"Mindomys hammondi voucher MECN6228 cytochrome b (Cytb) gene, partial cds; mitochondrial",832
3371118,Montemys delectorum,MZ420663.1,"Praomys delectorum isolate TZJA067 cytochrome b (cytb) gene, partial cds; mitochondrial",970
2929754,Myodes rufocanus,PV558693.1,"Myodes rufocanus isolate XJ174 cytochrome b (cytb) gene, complete cds; mitochondrial",1143
1962321,Neacomys amoenus,PV391843.1,"Neacomys amoenus voucher MUSM55423 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
561259,Neacomys dubosti,MT462036.1,"Neacomys dubosti voucher CN240 cytochrome b (cytb) gene, partial cds; mitochondrial",747
1932377,Nectomys rattus,KY498402.1,"Nectomys rattus voucher UFRO583 cytochrome b (cytb) gene, partial cds; mitochondrial",801
2666180,Nelsonia goldmani,MK878985.1,"Nelsonia goldmani voucher UK111953 cytochrome b (cytb) gene, partial cds; mitochondrial",1143
771787,Neodon fuscus,MK434308.1,"Neodon fuscus voucher ZIN:C.1908 cytochrome b (cytb) gene, partial cds; mitochondrial",737
798166,Neodon irene,PQ383006.1,"Neodon irene isolate ZZL170008 cytochrome b (cytb) gene, partial cds; mitochondrial",1069
798169,Neodon sikimensis,PQ383001.1,"Neodon sikimensis isolate YD202303713 cytochrome b (cytb) gene, partial cds; mitochondrial",1069
913575,Neotoma albigula varia,HQ328520.1,"Neotoma albigula varia voucher CIB<MEX-LaPaz>:14472 cytochrome b (cytb) gene, partial cds; mitochondrial",828
2652948,Neotoma phenax,MK202784.1,"Neotoma phenax voucher TTU6947 cytochrome b (cytb) gene, partial cds; mitochondrial",823
530178,Nephelomys albigularis,MZ736550.1,"Nephelomys albigularis voucher MUSM VPT1647 cytochrome b (cytb) gene, partial cds; mitochondrial",801
2964401,Nephelomys childi,OR988053.1,"Nephelomys childi isolate JFD1634 cytochrome b (cytb) gene, partial cds; mitochondrial",1137
511843,Nephelomys keaysi,PV391726.1,"Nephelomys keaysi voucher MUSM53115 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
2904038,Nephelomys ricardopalmai,PV391572.1,"Nephelomys ricardopalmai voucher VPT5514 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
2866649,Nilopegamys plumbeus,MT610460.1,"Nilopegamys plumbeus voucher FMNH:MAMM:28633 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
1925726,Niviventer andersoni pianmaensis,MF642436.1,"Niviventer andersoni pianmaensis isolate TD2014016 cytochrome b (cytb) gene, partial cds; mitochondrial",1131
2801481,Niviventer bukit,KY304470.1,"Niviventer bukit isolate ZIN97692 cytochrome b (cytb) gene, partial cds; mitochondrial",1131
2773612,Niviventer fengi,MN814525.1,"Niviventer fengi isolate JL17210 cytochrome b (cytb) gene, partial cds; mitochondrial",1128
2026214,Niviventer gladiusmaculus,MF642450.1,"Niviventer gladiusmaculus isolate XZ75 cytochrome b (cytb) gene, partial cds; mitochondrial",1131
1383893,Niviventer hinpoon,KC010102.1,"Niviventer hinpoon haplotype HCBNH18 cytochrome b (cytb) gene, partial cds; mitochondrial",769
979565,Niviventer huang,OP683976.1,"Niviventer huang voucher SAF190020 cytochrome b (cytb) gene, partial cds; mitochondrial",975
1925736,Niviventer lotipes,OP683968.1,"Niviventer lotipes voucher SAF190851 cytochrome b (cytb) gene, partial cds; mitochondrial",981
2773613,Niviventer mekongis,PP907116.1,"Niviventer mekongis isolate GZHU 23022 cytochrome b (cytb) gene, partial cds; mitochondrial",1128
946209,Niviventer tenaster,MF642478.1,"Niviventer tenaster isolate ZIN97693 cytochrome b (cytb) gene, partial cds; mitochondrial",1131
3122392,Nothocricetulus migratorius,PP457735.1,"Nothocricetulus migratorius voucher IDB RAS CWT 27251 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2213112,Oecomys tapajinus,MK874442.1,"Oecomys tapajinus isolate JL19 cytochrome b (cytb) gene, partial cds; mitochondrial",801
2034202,Oligoryzomys mattogrossae,KY952262.1,"Oligoryzomys mattogrossae voucher MN67086 cytochrome b (cytb) gene, partial cds; mitochondrial",801
1132651,Oligoryzomys rupestris,JQ013764.1,"Oligoryzomys rupestris voucher MN50326 cytochrome b (cytb) gene, partial cds; mitochondrial",1108
1132650,Oligoryzomys utiaritensis,JQ013776.1,"Oligoryzomys utiaritensis voucher MN75612 cytochrome b (cytb) gene, partial cds; mitochondrial",826
1003295,Otonyctomys hatti,JQ183060.1,"Otonyctomys hatti voucher FN29581 cytochrome b (cytb) gene, partial cds; mitochondrial",1143
2024399,Peromyscus avius,MF589817.1,"Peromyscus avius voucher CIB<MEX-LaPaz>:1337 cytochrome b (Cytb) gene, partial cds; mitochondrial",800
864060,Peromyscus grandis,KX998941.1,"Peromyscus grandis voucher TK151076 cytochrome b (cytb) gene, partial cds; mitochondrial",1141
943123,Peromyscus yucatanicus,PQ742163.1,"Peromyscus yucatanicus voucher MZFC-M 8512 cytochrome b (cytb) gene, partial cds; mitochondrial",1143
1159791,Praomys derooi,AF518351.1,"Myomys derooi specimen-voucher SMNS 39394 cytochrome b (cytb) gene, partial cds; mitochondrial gene for mitochondrial product",1140
666514,Praomys lukolelae,PV873485.1,"Praomys lukolelae voucher EBO27 cytochrome b (cytb) gene, partial cds; mitochondrial",1100
666515,Praomys minor,PV873847.1,"Praomys minor voucher EBO502 cytochrome b (cytb) gene, partial cds; mitochondrial",850
1116255,Praomys morio,PV809393.1,"Praomys morio voucher MNHN_ZM_2011_37 cytochrome b (cytb) gene, partial cds; mitochondrial",673
526885,Praomys mutoni,PV873681.1,"Praomys mutoni voucher EBO271 cytochrome b (cytb) gene, partial cds; mitochondrial",1107
3370639,Pseudohydromys musseri,PV391517.1,"Pseudohydromys musseri voucher MUSM54064 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
508668,Rattus nitidus,OK257680.1,"Rattus nitidus cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
583359,Rattus pyctoris,KY587430.1,"Rattus pyctoris isolate NP16117 cytochrome B (CytB) gene, partial cds; mitochondrial",945
796024,Rattus rattus alexandrinus,MH253713.1,"Rattus rattus alexandrinus strain PDZ 46 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
1167227,Rattus tanezumi sladeni,JQ793909.1,"Rattus tanezumi sladeni isolate rl039 cytochrome b (Cytb) gene, partial cds; mitochondrial",1122
996586,Rhabdomys dilectus,OL408955.1,"Rhabdomys dilectus voucher KIZ:NMK KE20150120 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
1543365,Rhabdomys dilectus dilectus,OK093808.1,"Rhabdomys dilectus dilectus isolate TZ33882 cytochrome b (cytb) gene, partial cds; mitochondrial",1040
2023160,Rhipidomys albujai,KY366345.1,"Rhipidomys albujai voucher QCAZ:15214 cytochrome b (cytb) gene, partial cds; mitochondrial",999
73861,Scarturus elater,PQ064103.1,"Scarturus elater isolate Selatcy4 cytochrome b (cytb) gene, partial cds; mitochondrial",921
530180,Sooretamys angouya,OQ560626.1,"Sooretamys angouya isolate BOCA841 cytochrome b (cytb) gene, partial cds; mitochondrial",719
2170709,Tachyoryctes macrocephalus,MH189040.1,"Tachyoryctes macrocephalus isolate ETH0935 cytochrome b (cytb) gene, partial cds; mitochondrial",882
1545497,Thomasomys paramorum,MN557098.1,"Thomasomys paramorum voucher QCAZ12624 cytochrome b (Cytb) gene, partial cds; mitochondrial",753
1725226,Thomasomys princeps,OP978501.1,"Thomasomys princeps voucher S4_5 cytochrome b (cytb) gene, partial cds; mitochondrial",795
1725221,Thomasomys silvestris,PQ300782.1,"Thomasomys silvestris voucher MECN:4943 cytochrome b (cytb) gene, partial cds; mitochondrial",703
1725219,Thomasomys taczanowskii,PQ300795.1,"Thomasomys taczanowskii voucher MECN:7675 cytochrome b (cytb) gene, partial cds; mitochondrial",704
1305945,Tonkinomys daovantieni,OR058875.1,"Tonkinomys daovantieni voucher NB-111 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
530183,Transandinomys bolivaris,EU579513.1,"Transandinomys bolivaris voucher TK135687 cytochrome b (Cytb) gene, partial cds; mitochondrial",1143
530184,Transandinomys talamancae,KY754172.1,"Transandinomys talamancae cytochrome b (cytb) gene, partial cds; mitochondrial",426
1002723,Tylomys watsoni,MF317949.1,"Tylomys watsoni voucher KU 142069 cytochrome b (cytb) gene, partial cds; mitochondrial",1143
1517486,Typhlomys chapensis,KX778371.1,"Typhlomys chapensis isolate Tjin_14-1 cytochrome b (cytb) gene, partial cds; mitochondrial",1077
687455,Typhlomys cinereus,MW585783.1,"Typhlomys cinereus isolate QLF1911375 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
1987367,Typhlomys daloushanensis,PV574587.1,"Typhlomys daloushanensis isolate GZ18254 cytochrome b (CYTB) gene, complete cds; mitochondrial",1140
1987368,Typhlomys nanus,KX778375.1,"Typhlomys nanus isolate Tsp1_3-1 cytochrome b (cytb) gene, partial cds; mitochondrial",1029
2107262,Typomys planifrons,ON419642.1,"Hybomys planifrons isolate AFGN16 cytochrome b (cytb) gene, partial cds; mitochondrial",875
2175849,Urocricetus kamensis,MZ018045.1,"Urocricetus kamensis isolate Q18-90 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2073147,Vernaya fulva,OR282758.1,"Vernaya fulva isolate SCNU02747 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
